"Variable","ObservedStatistics","ACE_AIC","CE_AIC","AE_AIC","E_AIC","ACE_noC_pval","ACE_noA_pval","ACE_noAC_pval","ACE_model_conf_set","AE_model_conf_set","CE_model_conf_set","E_model_conf_set","ACE_A_95CI","ACE_C_95CI","ACE_E_95CI","AE_A_95CI","AE_E_95CI","CE_C_95CI","CE_E_95CI","E_E_95CI","CODE_ACE","CODE_AE","CODE_CE","CODE_E","ACE_A","ACE_C","ACE_E","AE_A","AE_E","CE_C","CE_E","E_E"
"ProcSpeed_rawZ",421,250.383556313926,249.551626149772,249.901937125129,285.598586148637,0.217864689307969,0.279798192464533,3.0518590196838e-09,"*","*","*","","0.23 (0.00, 0.58)","0.23 (0.00, 0.50)","0.54 (0.41, 0.69)","0.49 (0.35, 0.60)","0.51 (0.40, 0.65)","0.41 (0.29, 0.51)","0.59 (0.49, 0.71)","1.00 (1.00, 1.00)",0,0,0,0,0.231125180988809,0.232603903759967,0.536270915251225,0.489308483568943,0.510691516431057,0.407681970330379,0.592318029669621,1
"CJOLOZ",414,292.592526016981,303.382215598514,290.592526022165,319.691618274405,0.999942547868507,0.000348534948218591,1.76570407862934e-07,"*","*","","","0.49 (0.30, 0.62)","0.00 (0.00, 0.00)","0.51 (0.38, 0.66)","0.49 (0.34, 0.62)","0.51 (0.38, 0.66)","0.29 (0.16, 0.41)","0.71 (0.59, 0.84)","1.00 (1.00, 1.00)",0,0,0,0,0.494588608869274,2.49670646204177e-15,0.505411391130723,0.494590415037078,0.505409584962922,0.293114837785241,0.706885162214759,1
"FAS_60Z",356,294.041380433511,292.756004368854,292.041380310739,293.026528845501,1,0.397913037957025,0.224793245978186,"*","*","*","*","0.18 (0.00, 0.36)","0.00 (0.00, 0.00)","0.82 (0.64, 1.00)","0.18 (0.00, 0.36)","0.82 (0.64, 1.00)","0.12 (0.00, 0.26)","0.88 (0.74, 1.00)","1.00 (1.00, 1.00)",0,0,0,0,0.176444034466992,5.44471525303796e-10,0.823555964988536,0.176441268037872,0.823558731962128,0.115181317133414,0.884818682866586,1
"DSfZ",414,273.765868569704,295.782222476602,271.76586824775,352.825038011626,1,9.55209141734229e-07,9.20302326585085e-19,"*","*","","","0.71 (0.50, 0.79)","0.00 (0.00, 0.00)","0.29 (0.21, 0.39)","0.71 (0.61, 0.79)","0.29 (0.21, 0.39)","0.50 (0.39, 0.60)","0.50 (0.40, 0.61)","1.00 (1.00, 1.00)",0,0,0,0,0.710708399953434,1.99990306704738e-14,0.289291600046546,0.71070795360985,0.28929204639015,0.500752778221284,0.499247221778716,1
"SCAS_scoreZ",422,305.379286819785,303.567837422677,306.120304481302,333.942233573018,0.0978024645408309,0.664125685661938,8.49270336624527e-08,"*","*","*","","0.10 (0.00, 0.52)","0.31 (0.00, 0.42)","0.60 (0.46, 0.74)","0.45 (0.30, 0.57)","0.55 (0.43, 0.70)","0.38 (0.26, 0.49)","0.62 (0.51, 0.74)","1.00 (1.00, 1.00)",0,0,0,0,0.0960921180437688,0.306724871017364,0.597183010938867,0.447145972013211,0.552854027986789,0.377377690862724,0.622622309137276,1
"SMFQ_scoreZ",422,310.663460169561,312.17373696929,308.663459988402,329.364645888587,1,0.0609892650578537,1.17625140390203e-05,"*","*","*","","0.39 (0.00, 0.53)","0.00 (0.00, 0.33)","0.61 (0.47, 0.76)","0.39 (0.24, 0.53)","0.61 (0.47, 0.76)","0.29 (0.17, 0.41)","0.71 (0.59, 0.83)","1.00 (1.00, 1.00)",0,0,0,0,0.394535420066228,7.23066379713555e-09,0.605464572703108,0.394537661574836,0.605462338425164,0.294916141759679,0.70508385824032,1
"SPHERE_anxdep_scoreZ",422,310.794923924447,313.727027835303,308.794924024407,336.145486691385,0.999747736855115,0.0263622029103378,4.23259071387604e-07,"*","*","*","","0.46 (0.06, 0.59)","0.00 (0.00, 0.31)","0.54 (0.41, 0.70)","0.46 (0.31, 0.59)","0.54 (0.41, 0.69)","0.33 (0.21, 0.45)","0.67 (0.55, 0.79)","1.00 (1.00, 1.00)",0,0,0,0,0.459440364294082,2.82064184846642e-09,0.540559632885276,0.459458009560963,0.540541990439037,0.331821774559309,0.668178225440691,1
"SPHERE_fat_scoreZ",422,318.825255894713,322.399636205928,316.825255781215,343.429558301417,1,0.0182251133168087,6.14687884186469e-07,"*","*","","","0.48 (0.09, 0.60)","0.00 (0.00, 0.28)","0.52 (0.40, 0.69)","0.48 (0.32, 0.60)","0.52 (0.40, 0.68)","0.32 (0.20, 0.44)","0.68 (0.56, 0.80)","1.00 (1.00, 1.00)",0,0,0,0,0.475181166474083,1.41666432693062e-15,0.524818833525915,0.475182555176524,0.524817444823476,0.322390520679621,0.677609479320379,1
"CRSQ_rum_scoreZ",419,336.289325172735,336.789917930026,334.289325841225,346.050423152979,0.999347639792325,0.1138034570887,0.00102757975915812,"*","*","*","","0.34 (0.00, 0.49)","0.00 (0.00, 0.30)","0.66 (0.51, 0.85)","0.34 (0.17, 0.49)","0.66 (0.51, 0.83)","0.23 (0.10, 0.35)","0.77 (0.65, 0.90)","1.00 (1.00, 1.00)",0,0,0,0,0.338717504175029,4.48409344113042e-08,0.661282450984037,0.338720892219562,0.661279107780438,0.229082990458227,0.770917009541773,1
"CASQ_comp_scoreZ",419,344.959778527867,347.789581463869,342.959778029692,355.13557991196,1,0.0279718276660914,0.000835148761040944,"*","*","*","","0.33 (0.05, 0.48)","0.00 (0.00, 0.00)","0.67 (0.52, 0.84)","0.33 (0.16, 0.48)","0.67 (0.52, 0.84)","0.21 (0.08, 0.33)","0.79 (0.67, 0.92)","1.00 (1.00, 1.00)",0,0,0,0,0.328300771434404,1.63804237853207e-14,0.671699228565579,0.328284313330321,0.671715686669679,0.208940635528638,0.791059364471362,1
